ts_updated,ts_created,notification_id,device_token_hash,site_id,has_unsubscribed,is_clicked,is_viewed
2018-09-28T09:05:34.352Z,2018-09-28T09:05:34.352Z,1003,834c967c9fd54db1f9f62cd24eda27bcecf2ba4bbc5e7ed1f91860c425d80db9,5222,false,false,false
2018-09-28T09:05:34.368Z,2018-09-28T09:05:34.368Z,1003,bdf7720527b3c30cae4c448f0d70c70efe138e49a3f312c75521036c10868e28,5222,false,false,false
2018-09-28T09:05:34.357Z,2018-09-28T09:05:34.357Z,1003,1cf8a80247b6b3802cfe18796b050153f9c68bea8c68af4b4b45013fc1bd0892,5222,false,false,false
2018-09-28T09:05:34.366Z,2018-09-28T09:05:34.366Z,1003,88a8024479ec20413f37336d13773819bd4920aecd2b315786b401857fc71c7c,5222,false,false,false
2018-09-28T09:05:34.369Z,2018-09-28T09:05:34.369Z,1003,e36610648dfa14c532cdcba074da3311f48bea0beb5ce4c6d3d96685d47ea0a5,5222,false,false,false
2018-09-28T09:05:34.407Z,2018-09-28T09:05:34.407Z,1003,048199637f84802547b7d0a95ed0442b1a20a2994a9b15e3ebd09c7cce5ec5d0,5222,false,false,false
2018-09-28T09:05:34.406Z,2018-09-28T09:05:34.406Z,1003,db9e660ef0df26de25a63380b7608af944cb04c5a50696e3e9912266ff2eba41,5222,false,false,false
2018-09-28T09:05:34.409Z,2018-09-28T09:05:34.409Z,1003,55c716b1e5fceaee89180882b0c6faa30d475f89bce6da626b061cf512e61486,5222,false,false,false
2018-09-28T09:05:36.049Z,2018-09-28T09:05:34.434Z,1003,f19b342b03762a74a5eeb3bdc02ac8608577d358512d6a564c9602353cbb1a58,5222,false,false,true
2018-09-28T09:05:34.471Z,2018-09-28T09:05:34.471Z,1003,f0156997cf6fbae941ed781419a89847b931a4510b2d455a533f706cbfc95080,5222,false,false,false
2018-09-28T09:05:34.495Z,2018-09-28T09:05:34.495Z,1003,dd3a80ad54df4da56443941347378f99cb022e16b5411a6f3e3c0e432bca4de5,5222,false,false,false
2018-09-28T09:05:34.495Z,2018-09-28T09:05:34.495Z,1003,e96c8ce26c3700d246dd7382827a5427524d06aa52d59610b26f011c773ed3b3,5222,false,false,false
2018-09-28T09:05:34.505Z,2018-09-28T09:05:34.505Z,1003,32c9873a23101336c55311163dbec9488fa9b781041216a8e3087e02b75e210d,5222,false,false,false
